,hawkish,neutral,dovish
은행채/NNG;신용스프레드/NNG;확대/NNG,3,0,1
신용스프레드/NNG;하향/NNG;안정/NNG,2,0,1
이머징채권/NNG;시장/NNG;안정/NNG,1,1,0
회사채/NNG;스프레드/NNG;축소/NNG,18,13,18
금융채/NNG;스프레드/NNG;축소/NNG,3,1,1
부정적/VAX;전망/NNG;우세/NNG,2,0,0
강하/VA;스프레드/NNG;축소/NNG,3,0,0
부정적/VAX;안정/NNG;하향/NNG,5,2,1
고정비/NNG;부담/NNG;증가/NNG,3,4,2
재무/NNG;안정성/NNG;개선/NNG,11,4,10
금리/NNG;하향/NNG;안정/NNG,10,11,4
상향/NNG;등급/NNG;하향/NNG,3,0,5
하향/NNG;등급/NNG;하향/NNG,21,7,20
투자/NNG;재무/NNG;부담/NNG,1,1,2
재무/NNG;부담/NNG;확대/NNG,10,3,7
재무/NNG;부담/NNG;완화/NNG,3,0,2
전망/NNG;등급/NNG;하향/NNG,7,0,7
투자/NNG;차입/NNG;부담/NNG,4,0,0
비용/NNG;증가/NNG;우려/NNG,1,0,0
장기물/NNG;공급/NNG;늘/VV,1,0,0
대외변수/NNG;불확실성/NNG,2,1,0
신용스프레드/NNG;축소/NNG,44,33,53
완화/NNG;쉽/VA;않/VX,1,0,2
크레딧/NNG;긍정적/VAX,1,0,2
채권시장/NNG;약세/NNG,103,63,73
불확실성/NNG;확대/NNG,30,7,19
우려/NNG;부정적/VAX,1,1,0
수익성/NNG;약화/NNG,3,1,6
개선/NNG;제한적/VAX,3,0,5
금리/NNG;상승/NNG,119,61,128
수요/NNG;확보/NNG,4,0,3
건설/NNG;안정/NNG,5,2,2
수주/NNG;확대/NNG,6,0,1
판매/NNG;부진/NNG,4,0,1
수주/NNG;부진/NNG,6,1,10
금리/NNG;인상/NNG,130,70,89
트럼프노믹스/NNG,2,0,5
극복/NNG,45,37,60
하/VV,26169,16867,27841
시장/NNG,5958,3617,6109
보/VV,8963,5611,8906
조사/NNG,1912,811,1927
자료/NNG,24669,15112,24820
고객/NNG,1942,945,1963
투자/NNG,6865,4532,6686
제공/NNG,1267,790,1435
목적/NNG,915,580,1179
작성/NNG,1182,738,1170
되/XSV,12984,9132,15251
어떠/NNG,1414,756,1440
무단/NNG,574,301,682
복제/NNG,763,424,892
배포/NNG,860,482,976
되/VV,19233,12353,20158
없/VA,5224,3012,5451
수록/NNG,541,387,664
내용/NNG,1361,1021,1597
신뢰/NNG,1162,625,1164
얻/VV,739,379,838
정확/NNG,1372,767,1383
완전/NNG,1023,526,1029
보장/NNG,1169,599,1135
자신/NNG,1121,607,1155
판단/NNG,3651,2306,4215
책임/NNG,2064,1036,2055
최종/NNG,1203,612,1266
결정/NNG,2217,1445,2383
바랍니다/VV,775,437,928
주식/NNG,1317,787,1368
결과/NNG,2463,1607,2513
법/NNG,1159,610,1226
증빙/NNG,1009,503,1010
사용/NNG,1214,701,1292
성과/NNG,194,144,228
나쁘/VA,124,80,129
않/VX,4209,2886,4415
대외변수/NNG,27,21,32
불확실성/NNG,1596,1015,1550
출범/NNG,44,64,97
우려/NNG,2797,1773,3063
부정적/VAX,1084,811,1107
전망/NNG,9006,6463,9331
우세/NNG,202,129,203
크레딧/NNG,2731,2236,3416
기대/NNG,4129,3308,4883
선방/NNG,16,13,26
마무리/NNG,309,138,265
무난/NNG,70,51,80
글로벌/NNG,2939,2159,3441
자산시장/NNG,25,18,28
호황/NNG,43,16,20
기인/NNG,183,103,149
하/XSV,17212,12409,19806
크/VA,4516,3142,4810
