,dovish
0,수출/NNG;부진/NNG
1,채권단/NNG
2,주채권은행/NNG
3,상정/NNG
4,서면/NNG
5,가결/NNG
6,협상/NNG
7,대출/NNG;금리/NNG;인하/NNG
8,조기/NNG
9,인하/NNG
10,화의/NNG
11,지급보증/NNG
12,소진/NNG
13,경기/NNG;부진/NNG
14,예대율/NNG
15,생산성/NNG;개선/NNG
16,검/VA
17,고통/NNG
18,크/MAG
19,높/VA;금리/NNG;하락/NNG
20,은행/NNG;대출/NNG;금리/NNG;하락/NNG
21,대출/NNG;금리/NNG;내리/VV
22,수신/NNG;금리/NNG;낮/VV
23,부증/NNG
24,복합기업/NNG
25,신용위험/NNG
26,수법/NNG
27,외국인/NNG;투자자금/NNG;빠지/VV
28,딴판/NNG
29,뒤바뀐/VV
30,고집/NNG
31,백기/NNG
32,함정/NNG
33,트리플위칭데이/NNG
34,개별주식옵션/NNG
35,상태기/NNG
36,실물/NNG
37,플레이션/NNG
38,금리/NNG;떨어/VV
39,금리/NNG;낮/VV
40,후순위채/NNG
41,전환사채/NNG
42,선순위채/NNG
43,증자/NNG
44,해제/NNG
45,감사보고서/NNG
46,곤두세우/VV
47,농가/NNG
48,두수/NNG
49,기대/NNG;살/VV
50,opec/NNG
51,가격/NNG;좋/VA
52,의문점/NNG
53,풀/VV
54,덤프트럭/NNG
55,유모/NNG
56,대리인/NNG
57,거짓/NNG
58,등기부등본/NNG
59,의문시/NNG
60,그만/NNG
61,의혹/NNG
62,바꿨/VV
63,장실/NNG
64,외압/NNG
65,감정평가/NNG
66,권장/NNG
67,대출자/NNG
68,경제/NNG;걸림돌/NNG
69,기대/NNG;우려/NNG
70,경제/NNG;성장/NNG;강하/VA
71,뚜렷이/MAG
72,최악/NNG
73,방어벽/NNG
74,편입/NNG
75,비동조화/NNG
76,신규/NNG;고용/NNG;늘/VV
77,전망/NNG;하향/NNG
78,판매가격/NNG;부진/NNG
79,가격/NNG;급락/NNG
80,전한/VV
81,아고라/NNG
82,로스/NNG
83,금리/NNG;최대한/MAG;낮/VV
84,자금사정/NNG;좋/VA
85,마스터/NNG
86,자산유동화증권/NNG
87,경기/NNG;회복/NNG;기대/NNG;찬물/NNG
88,어쩔/VV
89,일중/NNG
90,채권/NNG;발행/NNG;증가/NNG
91,부동산/NNG;위험/NNG
92,상승률/NNG;떨어/VV
93,집값/NNG;떨어/VV
94,각국/NNG
95,최대/NNG;실적/NNG;오르/VV
96,자산유동화/NNG
97,기업/NNG;금리/NNG;상승/NNG
98,채권/NNG;발행/NNG;급증/NNG
99,옮겨질/VV
100,대출/NNG;수요/NNG;늘/VV
101,사들일/VV
102,말랐/VV
103,기대/NNG;회복/NNG
104,발휘/NNG
105,채권/NNG;금리/NNG;급등/NNG
106,현금/NNG;확보/NNG
107,유동/NNG
108,g7/NNG
109,원엔/NNG
110,법상/NNG
111,꼴/NNG
112,회피/NNG
113,미/NNG;fed/NNG;금리/NNG;인하/NNG
114,국채/NNG;수익률/NNG;하락/NNG
115,국채/NNG;가격/NNG;상승/NNG
116,국채/NNG;선호/NNG
117,타격/NNG;없/VA
118,유례없/VA
119,안전자산/NNG
120,런던/NNG
121,흘러드/VV
122,페그/NNG
123,페그제/NNG
124,폐기/NNG
125,실물/NNG;경기/NNG;침체/NNG
126,고용/NNG;지표/NNG;충격/NNG
127,쌀쌀/NNG
128,미국발/NNG
129,침체/NNG
130,이익비중/NNG
131,학실/NNG
132,글로벌/NNG;통화정책/NNG;완화/NNG
133,하락/NNG;벗어나/VV;못하/VX
134,금리/NNG;인하/NNG
135,홀로/MAG
136,합해/VV
137,은퇴/NNG
138,교육부/NNG
139,경감/NNG
140,저리/MAG
141,기준일/NNG
142,캠페인/NNG
143,사후관리/NNG
144,위험/NNG;회피/NNG;약화/NNG
145,부양/NNG
146,외환시장/NNG;안정/NNG
147,외평기금/NNG
148,역마진/NNG
149,역마/NNG
150,진이/XSV
151,퇴출/NNG
152,진작/NNG
153,와인/NNG
154,신영/NNG
155,전면/NNG
156,제로/NNG
157,집안싸움/NNG
158,배워라/VV
159,오메가/NNG
160,휘파람/NNG
161,기업/NNG;실적/NNG;악화/NNG
162,펼쳐지/VV
163,피아/NNG
164,토/XSV
165,경제/NNG;장기/NNG;성장/NNG
166,동시상장/NNG
167,곤두박질치/VV
168,정의/NNG
169,마이너스/NNG
170,트릴/NNG
171,대형기업/NNG
172,밀어내기/NNG
173,지수편입기업/NNG
174,프라이빗뱅크/NNG
175,다스/NNG
176,금리/NNG;인하/NNG;경기/NNG;침체/NNG
177,자금/NNG;감소/NNG
178,원스톱/NNG
179,커뮤니티/NNG
180,삭제/NNG
181,손수/MAG
182,수표/NNG
183,규명/NNG
184,횡령/NNG
185,조성/NNG
186,경위/NNG
187,비자금/NNG
188,공적자금/NNG
189,투입/NNG
190,민사소송/NNG
191,추심/NNG
192,버텼/VV
193,액수/NNG
194,집행유예/NNG
195,은닉/NNG
196,우선권/NNG
197,자택/NNG
198,신용위험/NNG;증가/NNG
199,통화/NNG;증가/NNG
200,경제/NNG;살/VV
201,공약/NNG
202,무력화/NNG
203,우선주/NNG
204,불도저/NNG
205,굳혔/VV
206,부딪힐/VV
207,노정/NNG
208,채권/NNG;불안/NNG
209,경제/NNG;악화/NNG
210,cp/NNG
211,환자/NNG
212,미성년자/NNG
213,증폭/NNG
214,발맞춰/VV
215,공생/NNG
216,자산배분안/NNG
217,수익금/NNG
218,천문학/NNG
219,확충/NNG
220,상향/NNG;힘입/VV;오르/VV
221,문/NNG
222,여/VV
223,과감/NNG
224,불안/NNG;증폭/NNG
225,전망/NNG;낮/VA
226,실적/NNG;낮/VA
227,들떴/VV
228,일말/NNG
229,놀랄/VV
230,지난번/NNG
231,합의/NNG
232,자금/NNG;유입/NNG;늘/VV
233,펀더멘털/NNG;부담/NNG
234,유동성/NNG;불안/NNG
235,부침/NNG
236,최대/NNG;하락/NNG
237,통화정책/NNG;경제/NNG;성장/NNG
238,단칸/NNG
239,소기업/NNG
240,연체율/NNG;급등/NNG
241,gni/NNG
242,면밀/NNG
243,사료/NNG
244,기한/NNG
245,변동성/NNG;크/VV;우려/NNG
246,자금순환표/NNG
247,민간기업/NNG
248,잠자/VV
249,작동/NNG
250,절실히/MAG
251,경제/NNG;침체/NNG;빠지/VV
252,경기/NNG;침체/NNG;피하/VV
253,평상시/NNG
254,디폴트/NNG
255,보험료납입기간/NNG
256,교육자금/NNG
257,가입연령/NNG
258,주어진다/VV
259,실물/NNG;경제/NNG;악화/NNG
260,신흥국/NNG;성장/NNG
261,투기수요/NNG
262,pf/NNG;대출/NNG;부실/NNG;우려/NNG
263,원리금/NNG;상환/NNG;부담/NNG
264,지수/NNG;마이너스/NNG
265,대출태도/NNG
266,런던금시장/NNG
267,바싹/MAG
268,저지/NNG
269,은행/NNG;위험/NNG
270,안정화/NNG
271,채권선물/NNG
272,세/VA
273,안쪽/NNG
274,비농업/NNG;고용/NNG;늘/VV
275,경기/NNG;침체/NNG;막/VV
276,글로벌/NNG;위험/NNG;회피/NNG
277,고용/NNG;충격/NNG
278,다가/VV
279,공포지수/NNG
280,msci/NNG
281,차인/VV
282,미결제/NNG
283,통안채/NNG;발행/NNG;줄/VV
284,수익/NNG;많/VA
285,금리/NNG;내리/VV
286,수익/NNG;낮/VA
287,알맞/VA
288,본질가치/NNG
289,선행조건/NNG
290,인하/NNG;가능성/NNG;낮/VA
291,임금/NNG;상승률/NNG;높/VA
292,일자리/NNG;넘/VV
293,금산분리/NNG
294,항간/NNG
295,화제/NNG
296,물러났/VV
297,박수/NNG
298,만났/VV
299,결단/NNG
300,이릅니다/VV
301,한다거나/XSV
302,물가안정목표설정/NNG
303,준하/VV
304,권위/NNG
305,중재자/NNG
306,우량기업/NNG
307,구멍가게/NNG
308,자랑/NNG
309,망라/NNG
310,부랴부랴/MAG
311,사후/NNG
312,위험/NNG;매우/MAG;높/VA
313,경제/NNG;부양/NNG
314,운송량/NNG
315,들/NNG
316,금융시장/NNG;불안/NNG;경기/NNG;둔화/NNG
317,해외/NNG;금융시장/NNG;불안/NNG
318,저물가/NNG
319,산유량/NNG
320,감산/NNG
321,밝혔으며/VV
322,네프/NNG
323,송두리/NNG
324,착수/NNG
325,회계기준/NNG
326,나눠서/VV
327,리스트/NNG
328,글로벌/NNG;경기/NNG;둔화/NNG;우려/NNG
329,세계/NNG;경기/NNG;침체/NNG;우려/NNG
330,글로벌/NNG;경기/NNG;침체/NNG
331,금융시장/NNG;불안/NNG
332,투자/NNG;촉진/NNG
333,심리/NNG;악화/NNG
334,하락/NNG;둔화/NNG
335,폭락/NNG
336,닛케이/NNG
337,얻어맞/VV
338,보관/NNG
339,비관주의/NNG
340,시티/NNG
341,금융시장/NNG;불안/NNG;확대/NNG
342,원달러/NNG;안정/NNG
343,높/VA;경계/NNG
344,장거리로켓/NNG
345,특이/NNG
346,신속/NNG
347,긴급거시경제금융회의/NNG
348,국제기구/NNG
349,공조/NNG
350,국채/NNG;금리/NNG;마이너스/NNG
351,물가/NNG;하락/NNG;막/VV
352,신조/NNG
353,安/NNG
354,倍/NNG
355,黑/NNG
356,田/NNG
357,東/NNG
358,구체/NNG
359,가격변수/NNG;변동성/NNG;확대/NNG
360,국제/NNG;금융시장/NNG;안정/NNG
361,금융시장/NNG;위험/NNG;회피/NNG
362,금융경제/NNG
363,불안정/NNG
364,그러/VV
365,외화/NNG
366,가동/NNG;전면/NNG;중단/NNG
367,은행/NNG;실적/NNG;악화/NNG
368,수요/NNG;확충/NNG
369,정책금융/NNG
370,금융지원/NNG
371,소집/NNG
372,애로/NNG
373,긴급/NNG
374,수출입은행/NNG
375,응방/NNG
376,세계/NNG;경기/NNG;둔화/NNG;우려/NNG
377,정책/NNG;효과/NNG;의구심/NNG
378,세계/NNG;경제/NNG;불안/NNG
379,경제/NNG;불안/NNG;확산/NNG
380,자산/NNG;가격/NNG;오르/VV
381,돈/NNG;풀/VV
382,소용돌이/NNG
383,금융투자업계/NNG
384,좁히/VV
385,최후/NNG
386,경공업/NNG
387,용석/NNG
388,쏠린다/VV
389,도산/NNG;우려/NNG
390,폐쇄/NNG
391,도산/NNG
392,올인/NNG
393,장학금/NNG
394,지고/NNG
395,낙제/NNG
396,총참모장/NNG
397,팍팍/NNG
398,해약/NNG
399,금융위기/NNG
400,광고판/NNG
401,특급/NNG
402,원작/NNG
403,파문/NNG
404,악수/NNG
405,잡힌다/VV
406,사드/NNG
407,흙/NNG
408,수저/NNG
409,돼도/VV
410,오피스텔/NNG
411,국제/NNG;신용등급/NNG;상향/NNG
412,부실/NNG;가능성/NNG;높/VA
413,구조조정/NNG;늦/VA
414,수입/NNG;증대/NNG
415,저성장/NNG
416,처한/VV
417,구조조정/NNG
418,대출포트폴리오/NNG
419,불황/NNG
420,치루/VV
421,신흥국/NNG;경기/NNG;둔화/NNG
422,물가/NNG;상승률/NNG;높/VV
423,제조업/NNG;살/VV
424,늪/NNG;빠지/VV
425,돌/VV
426,엔저/NNG
427,우산/NNG
428,부양책/NNG
429,불안/NNG;막/VV
430,전례/NNG
431,공포/NNG
432,줄/NNG
433,퍼진/VV
434,opec/NNG;감산/NNG
435,생산/NNG;줄/VV
436,불발/NNG
437,대출/NNG;원리금/NNG;상환/NNG;유예/NNG
438,다각/NNG
439,지원책/NNG
440,지피/VV
441,통틀어/MAG
442,옮겨갈/VV
443,투자일임업/NNG
444,신탁/NNG
445,신탁자산/NNG
446,분리/NNG
447,망하/VV
448,지켜져야/VV
449,한다는/VV
450,전국은행연합회/NNG
451,완강/NNG
452,채권/NNG;금리/NNG;인하/NNG
453,투자심리/NNG;회복/NNG
454,부작용/NNG;우려/NNG
455,원샷법/NNG
456,배당주/NNG
457,대표자/NNG
458,송이/NNG
459,공고/NNG
460,라이선스/NNG
461,벤처펀드/NNG
462,자본/NNG;유출/NNG;우려/NNG
463,경제/NNG;경착륙/NNG
464,자본/NNG;통제/NNG
465,통화/NNG;하락/NNG
466,순유입/NNG
467,스퀘어/NNG
468,쇼트/NNG
469,빈틈/NNG
470,유동성/NNG;확보/NNG
471,낙후/NNG
472,순위/NNG
473,구/NNG
474,파크/NNG
475,스위트/NNG
476,용/NNG
477,죽/MAG
478,거시경제금융회의/NNG
479,경기/NNG;부진/NNG;금리/NNG;인하/NNG
480,시중/NNG;유동성/NNG;확대/NNG
481,민간/NNG;신용/NNG;증가/NNG
482,통화/NNG;확대/NNG
483,하락/NNG;떨어/VV
484,경기/NNG;살/VV
485,유효수요/NNG
486,국민계정/NNG
487,나눈/VV
488,통화승수/NNG
489,맴도/VV
490,원계/NNG
491,통화신용정책보고서/NNG
492,주택시장/NNG;긍정적/VAX
493,슬/VV
494,고착화/NNG
495,경색/NNG
496,분양시장/NNG
497,거래비중/NNG
498,정/MAG
499,슬/NNG
500,경기/NNG;침체/NNG
501,모/NNG
502,원금손실/NNG
503,알뜰/NNG
504,환금/NNG
505,계약자/NNG
506,효력상실/NNG
507,융/NNG
508,약관/NNG
509,질병/NNG
510,국제/NNG;유가/NNG;공급/NNG;과잉/NNG;우려/NNG
511,글로벌/NNG;금융시장/NNG;변동성/NNG;확대/NNG
512,금리/NNG;대출/NNG;활성화/NNG
513,정작/NNG
514,대출보증/NNG
515,떠안/VV
516,따라선/VV
517,경제주체/NNG;심리/NNG;개선/NNG
518,연구개발/NNG;투자/NNG;확대/NNG
519,디플레이션/NNG;우려/NNG
520,경기/NNG;선순환/NNG
521,통화/NNG;완화/NNG
522,불안/NNG;해소/NNG
523,타개/NNG
524,아베노믹스/NNG
525,경제주체/NNG
526,디플레이션/NNG
527,잠재성장력/NNG
528,탄/NNG
529,지식재산/NNG
530,실효/NNG
531,재정정책/NNG
532,넓혀야/VV
533,수요/NNG;살/VV
534,불확실성/NNG;위험/NNG;회피/NNG
535,국외/NNG
536,금융안정/NNG
537,공보관/NNG
538,국채/NNG;금리/NNG;하락/NNG;압력/NNG
539,외환보유액/NNG;급감/NNG
540,신흥국지수/NNG
541,랜드화/NNG
542,ftse/NNG
543,범유럽권/NNG
544,유가/NNG;하락/NNG;제한/NNG
545,안전통화/NNG
546,인내심/NNG
547,부연/NNG
548,안전자산/NNG;매수/NNG;강화/NNG
549,위험/NNG;회피/NNG;강화/NNG
550,둔화/NNG;우려/NNG;증폭/NNG
551,낙찰/NNG;금리/NNG;최저/NNG
552,변동성지수/NNG;상승/NNG
553,전망/NNG;증폭/NNG
554,낙관론/NNG;크/VV
555,앨/NNG
556,둠/NNG
557,입찰자/NNG
558,파운드/NNG
559,매입세/NNG
560,일어/NNG
561,톨/NNG
562,낮/MAG
563,춘다고/VV
564,cds/NNG;프리미엄/NNG;상승/NNG
565,글로벌/NNG;안전자산/NNG;선호/NNG
566,일시적/VAX;금리/NNG;상승/NNG
567,마이너스/NNG;떨어/VV
568,긴박/NNG
569,돌아갔/VV
570,미래/NNG;금리/NNG;인상/NNG
571,할지/VV
572,위장/NNG
573,국채/NNG;비중/NNG;늘/VV
574,격전/NNG
575,글로벌/NNG;금융시장/NNG;불안/NNG
576,이전/NNG;매파/NNG
577,롱포지션/NNG
578,합의서/NNG
579,뗀/VV
580,알렸/VV
581,애간장/NNG
582,가공/NNG
583,나진/NNG
584,내려진/VV
585,경각심/NNG
586,국제/NNG;금융시장/NNG;불확실성/NNG;크/VV
587,국제/NNG;금융시장/NNG;변동성/NNG;크/VV
588,금리/NNG;인하/NNG;경기/NNG;부양/NNG
589,소비/NNG;투자/NNG;촉진/NNG
590,국고채/NNG;금리/NNG;낮/VA
591,부양/NNG;효과/NNG
592,채권시장/NNG;금리/NNG;인하/NNG
593,세계/NNG;금융시장/NNG;불안/NNG
594,전망/NNG;금리/NNG;인하/NNG
595,금리/NNG;하향/NNG
596,원화/NNG;떨어/VV
597,계영/NNG
598,소수의견/NNG
599,만장일치/NNG
600,압박감/NNG
601,경/NNG
602,fed/NNG;금리/NNG;인상/NNG;속도/NNG;늦/VV
603,예상/NNG;늦/VV
604,예상/NNG;줄/VV
605,출석/NNG
606,양적완화/NNG
607,모형/NNG
608,물어본/VV
609,마이너스/NNG;하락/NNG
610,물리/VV
611,은행/NNG;수익성/NNG;악화/NNG;우려/NNG
612,국채/NNG;수익률/NNG;마이너스/NNG
613,자국/NNG;통화/NNG;절하/NNG
614,기대/NNG;약하/VA
615,지준/NNG
616,엮인/VV
617,은행/NNG;대출/NNG;어렵/VA
618,경제/NNG;위축/NNG
619,객실/NNG
620,리보/NNG
621,인프라스트럭처/NNG
622,경기/NNG;침체/NNG;공포/NNG
623,양적완화/NNG;우려/NNG
624,시스템/NNG;무너/VV
625,불러일으켜/VV
626,다각도/NNG
627,외국인/NNG;채권자금/NNG;이탈/NNG
628,채권자금/NNG
629,수반/NNG
630,원화채권/NNG
631,롱스탑/NNG
632,잦아지/VV
633,롤오버/NNG
634,오래가/VV
635,원달러/NNG;상승/NNG;원화/NNG;약세/NNG
636,경제/NNG;성장/NNG;부담/NNG
637,유가/NNG;우려/NNG
638,빅/NNG
639,금리/NNG;마이너스/NNG;인하/NNG
640,경제/NNG;활력/NNG
641,임금/NNG;오르/VV
642,현금/NNG;넘/VV
643,교착/NNG
644,차선/NNG
645,인선/NNG
646,유권자/NNG
647,달러원/NNG;역외/NNG;환율/NNG;반영/NNG;하락/NNG
648,하단/NNG;지지/NNG
649,리스크오프/NNG
650,재정환율/NNG
651,원위안/NNG
652,자금/NNG;우려/NNG
653,고점/NNG;저점/NNG
654,롱처분/NNG
655,잔여/NNG
656,스무딩/NNG
657,채권/NNG;금리/NNG;내림/NNG
658,자금/NNG;유출/NNG;우려/NNG
659,금융투자/NNG
660,망설였/VV
661,금리/NNG;인상/NNG;늦/VV
662,금/NNG;수요/NNG;늘/VV
663,장순/NNG
664,옥/NNG
665,금리/NNG;마이너스/NNG;내리/VV
666,유동성/NNG;풀/VV
667,초유/NNG
668,외려/MAG
669,상당기간/NNG
670,fed/NNG;금리/NNG;인상/NNG;경계/NNG
671,금리/NNG;인하/NNG;결정/NNG;내리/VV
672,국채/NNG;수익률/NNG;밑돌/VV
673,수익성/NNG;악화/NNG;우려/NNG
674,경기/NNG;전망/NNG;개선/NNG
675,변동성/NNG;크/VV;위험/NNG
676,디폴트/NNG;위험/NNG;높/VA
677,양적완화/NNG;강화/NNG
678,극단적/VAX
679,되려/MAG
680,고용시장/NNG;호전/NNG
681,증가량/NNG
682,fed/NNG;금리/NNG;인상/NNG;늦/VV
683,금리/NNG;인상/NNG;속도/NNG;늦/VA
684,금리/NNG;인상/NNG;지연/NNG
685,비둘기/NNG
686,불확실성/NNG;증대/NNG
687,협조/NNG
688,신용공여액/NNG
689,상담센터/NNG
690,니케/NNG
691,판매/NNG;열/NNG;오르/VV
692,잠재/NNG;위험/NNG
693,기초자산/NNG
694,녹인/NNG
695,투자여력/NNG
696,대중화/NNG
697,불어났/VV
698,반성/NNG
699,날리/VV
700,일정폭/NNG
701,난/VV
702,위험/NNG;회피/NNG;확산/NNG
703,깜짝/MAG
704,샘/NNG
705,시경/NNG
706,이탈/NNG;가능성/NNG;낮/VA
707,금융시장/NNG;우려/NNG
708,기대/NNG;급등/NNG
709,매우/MAG;위험/NNG
710,비관/NNG;않/VX
711,우하향/NNG
712,유럽연합/NNG
713,양회/NNG
714,국제/NNG;유가/NNG;혼조/NNG
715,유로존/NNG;탈퇴/NNG;우려/NNG
716,탈퇴/NNG
717,꽁꽁/MAG
718,코넥스/NNG
719,우려/NNG;국제/NNG;유가/NNG;하락/NNG
720,글로벌/NNG;금리/NNG;하락/NNG
721,경기/NNG;하방/NNG;압력/NNG
722,금지법/NNG
723,공동대표/NNG
724,원내대표/NNG
725,정책위/NNG
726,단순/NNG
727,국회의원/NNG
728,공천/NNG
729,상임/NNG
730,주식처분/NNG
731,독립성/NNG
732,중기청/NNG
733,컨트롤/NNG
734,싸울/VV
735,경기/NNG;회복/NNG;약화/NNG
736,건설/NNG;감소/NNG
737,대학생/NNG
738,내정/NNG
739,붕괴/NNG;위험/NNG
740,재난관리/NNG
741,늑장/NNG
742,형평/NNG
743,내려졌/VV
744,맨션/NNG
745,입주민/NNG
746,철거/NNG
747,낡/VA
748,棟/NNG
749,임차/NNG
750,지하/NNG
751,정밀안전진단/NNG
752,자금/NNG;조달/NNG;어렵/VA
753,높/VA;주가/NNG;하락/NNG
754,자원국/NNG
755,보유비율/NNG
756,세계/NNG;위험/NNG
757,극약/NNG
758,처방/NNG
759,단자/NNG
760,글로벌/NNG;수요/NNG;감소/NNG
761,수출기업/NNG;긍정적/VAX
762,원화/NNG;약세/NNG
763,역풍/NNG
764,따진다/VV
765,숨통/NNG
766,트일/VV
767,북풍/NNG
768,野/NNG
769,곳간/NNG
770,인심/NNG
771,흠/NNG
772,여야/NNG
773,통념/NNG
774,새누리당/NNG
775,야권/NNG
776,말미암/VV
777,여론조사/NNG
778,사면초가/NNG
779,놓였/VV
780,경제난/NNG
781,난국/NNG
782,다수당/NNG
783,국회선진화법/NNG
784,국회법/NNG
785,호소/NNG
786,양당/NNG
787,노선도/NNG
788,창조경제/NNG
789,난센스/NNG
790,은행/NNG;부실/NNG;우려/NNG
791,원달러/NNG;내리/VV
792,불안/NNG;경계/NNG
793,디플레이션/NNG;우려/NNG;크/VV
794,크로나/NNG
795,cd/NNG;금리/NNG;하락/NNG
796,수협/NNG
797,위험/NNG;회피/NNG;성향/NNG;크/VV
798,급락/NNG;금융시장/NNG;불안/NNG
799,국제/NNG;유가/NNG;바닥/NNG
800,불확실성/NNG;증폭/NNG
801,외환시장/NNG;불안/NNG
802,수출/NNG;감소/NNG
803,공식화/NNG
804,그야말로/MAG
805,마늘/NNG
806,관세율/NNG
807,시장상황점검회의/NNG
808,탕감/NNG
809,빠뜨린/VV
810,일보/NNG
811,파고/NNG
812,새겨야/VV
813,고졸/NNG
814,돈줄/NNG
815,이어져야/VV
816,동참/NNG
817,한겨레/NNG
818,부른/VV
819,충격파/NNG
820,너도나도/MAG
821,상가/NNG
822,권리금/NNG
823,소용없/VA
824,신아/NNG
825,미일/NNG
826,환영/NNG
827,신흥국/NNG;경제/NNG;둔화/NNG
