,hawkish,neutral,dovish
경영/NNG;여건/NNG;좋/VA,4,1,5
원화/NNG;급등/NNG,33,18,25
수출/NNG;부진/NNG,357,253,494
기자/NNG,58335,30980,63435
채권단/NNG,944,692,1403
경영/NNG,4563,2315,4968
정상화/NNG,3194,1963,3266
위하/VV,41800,21282,46802
대출/NNG,51099,25323,55643
금리/NNG,270675,147920,304611
감면/NNG,1477,703,1586
대규모/NNG,4912,2730,5794
출자전환/NNG,224,99,203
검토/NNG,6535,3361,7490
하/XSV,343896,182705,380976
금융/NNG,25832,13693,28621
따르/VV,53029,29725,57867
주채권은행/NNG,98,98,136
같/VA,35616,19600,39378
내용/NNG,6537,3532,7161
담/VV,1932,1114,2338
방안/NNG,8806,4802,10358
마련/NNG,7817,4059,8680
채권/NNG,37005,19270,39310
금융기관/NNG,6042,2752,7140
안건/NNG,244,139,289
상정/NNG,280,178,406
하/VV,778441,427968,857975
서/VV,932,529,1065
면결/NNG,4,4,0
절차/NNG,1721,1031,2060
거치/VV,1946,991,2128
채택/NNG,918,580,1061
여부/NNG,7612,3904,8177
최종/NNG,1927,1032,2177
결정/NNG,19265,10358,22732
관계자/NNG,16586,8274,17679
환율/NNG,32751,16173,33594
급락/NNG,13843,6508,15047
원화/NNG,10176,5909,10940
급등/NNG,17150,8090,18659
수출/NNG,17359,9174,19489
부진/NNG,15388,9777,17634
여건/NNG,7390,4033,7900
좋/VA,12880,6437,13629
않/VX,82359,43209,89399
함께/MAG,10701,5489,11727
수준/NNG,46897,24525,49223
설명/NNG,26571,15148,28828
서면/NNG,150,108,226
결의/NNG,349,186,420
통하/VV,24989,12464,27325
동의/NNG,1273,830,1502
얻/VV,3883,1982,4127
안/MAG,9393,4599,10259
가결/NNG,277,240,477
되/VV,280237,152414,306293
장담/NNG,362,170,404
없/VA,48808,25153,53637
가량/NNG,8152,4446,8559
실시/NNG,6542,3541,6703
했었/XSV,1428,589,1491
자/VV,92,49,106
방/NNG,1582,917,1956
안/NNG,7432,4101,8258
자회사/NNG,1150,527,1195
한마/NNG,6,2,1
텍/NNG,290,97,249
매각/NNG,5125,2834,5183
보유/NNG,7614,4050,8135
지분/NNG,2939,1462,3173
기업공개/NNG,495,258,526
무산/NNG,735,413,757
되/XSV,111691,56189,119755
직/NNG,714,444,912
추진/NNG,9908,4955,10818
협상/NNG,3379,2475,4742
진행/NNG,9133,5221,10315
가격/NNG,50474,26444,52722
단내/NNG,3,4,3
이견/NNG,733,379,713
두/VV,6751,3386,6992
대출/NNG;금리/NNG;인하/NNG,296,198,473
수요/NNG;확대/NNG,153,85,184
수요/NNG;증가/NNG,536,266,520
공급/NNG;늘/VV,200,86,222
급격/NNG,2954,1437,3244
고령화/NNG,846,519,882
장기/NNG,14632,7822,15884
금융자산/NNG,720,376,778
수요/NNG,16593,8664,17258
확대/NNG,30576,16805,33966
부응/NNG,217,101,228
단기/NNG,16491,8846,17867
집중/NNG,6012,3242,6629
주택담보대출/NNG,9304,4003,9174
만기/NNG,28056,15983,30883
분산/NNG,619,278,649
시키/XSV,6577,2934,7105
모기지/NNG,6839,2480,6710
전환/NNG,9085,4816,9739
서둘/VV,991,533,1122
노력/NNG,4776,2743,5678
주장/NNG,8795,4655,9640
나오/VV,30795,18048,34728
대응/NNG,9775,5515,10995
연구/NNG,1753,850,1700
보고서/NNG,7927,4332,8678
빠르/VA,8944,4794,9806
증가/NNG,41134,21141,41747
예상/NNG,63316,34313,67267
주택/NNG,17709,8582,17628
담보부/NNG,397,167,502
증권/NNG,16095,7661,16429
활성화/NNG,5191,2823,5690
밝히/VV,36741,18755,39947
남/NNG,899,495,1041
조기/NNG,3805,2542,5113
인하/NNG,29504,18312,51352
유도/NNG,2545,1312,2920
중/NNG,45465,23249,47463
회수/NNG,1761,785,1825
어렵/VA,18395,10234,21101
대환대출/NNG,85,58,106
특히/MAG,18781,9275,20137
화의/NNG,132,65,175
대안/NNG,1396,781,1547
필요/NNG,22447,12078,25364
있/VA,37270,19881,41676
지적/NNG,18284,9000,19615
발행/NNG,27444,14682,29074
인센티브/NNG,617,308,612
강화/NNG,14351,8393,15233
주택저당채권/NNG,78,23,62
변동금리부/NNG,252,103,299
허용/NNG,1997,881,2131
또/MAG,30110,14920,31794
연기금/NNG,1932,1030,2178
보다/MAG,4370,1665,3909
적극적/VAX,5654,2918,6383
상품/NNG,19450,9133,19282
운용/NNG,9602,4454,9992
있/VV,121958,66910,136949
공급/NNG,12164,5865,14237
늘/VV,33867,17890,35968
자본/NNG,6875,3810,8389
지급보증/NNG,331,98,669
한도/NNG,5743,2764,6121
대폭/NNG,560,217,717
덧붙이/VV,12398,7510,13897
국민연금/NNG,1556,882,1603
적립금/NNG,331,239,453
체계/NNG,1843,956,1973
유지/NNG,25081,13861,26192
최고점/NNG,297,122,347
도달/NNG,1600,874,1678
급격/MAG,2083,1126,2552
하락/NNG,96533,54535,104271
기금/NNG,1893,981,2221
소진/NNG,563,349,738
인하/VV,13085,5524,14069
국채시장/NNG,1137,821,1365
왜곡/NNG,722,285,781
생기/VV,2142,1199,2321
해외/NNG,15507,7739,16731
투자/NNG,39607,19872,42088
포트폴리오/NNG,2058,1116,2298
다변화/NNG,759,380,746
현금흐름/NNG;양호/NNG,5,3,4
경기/NNG;부진/NNG,361,245,492
금리/NNG;높/VA,807,440,884
지역/NNG,14508,7424,14801
수신/NNG,2114,793,2045
예금은행/NNG,525,215,514
규모/NNG,27636,15342,31047
크/VA,72353,39284,78495
줄/VV,30730,16596,34083
연속/NNG,12700,6420,12996
감소/NNG,21176,11030,22991
나타나/VV,46962,27163,51716
본부/NNG,1647,968,1652
비은행/NNG,949,564,982
기관/NNG,13974,7384,14642
대비/NNG,42762,24370,46048
함/XSV,5305,2928,6121
이/VV,15119,7998,16304
예금/NNG,11485,5102,11559
수익률/NNG,21666,11780,24563
낮/VA,29633,17100,33455
은행/NNG,45761,23532,53682
은행신탁/NNG,10,7,7
우체국/NNG,236,125,293
종합/NNG,9101,3868,8622
상대적/VAX,7430,3894,8231
높/VA,50677,24855,51663
세금/NNG,2502,1336,2754
혜택/NNG,5107,2592,5360
상호저축은행/NNG,414,133,390
상호금융/NNG,634,386,687
새마을금고/NNG,531,308,524
이탈/NNG,3159,1675,3708
경기/NNG,58322,28052,64177
시/NNG,5207,2733,5743
여유자금/NNG,462,204,573
부족/NNG,4702,2455,5257
