,hawkish,neutral,dovish
가계/NNG;대출/NNG;위험관리/NNG;강화/NNG,2,0,0
단기/NNG;금리/NNG;변동성/NNG;확대/NNG,1,0,0
실물/NNG;경기/NNG;침체/NNG;우려/NNG,1,0,0
가계/NNG;부채/NNG;증가/NNG;둔화/NNG,4,1,2
해외/NNG;증권/NNG;투자/NNG;확대/NNG,2,1,2
금리/NNG;고정/NNG;금리/NNG;낮/VA,1,0,0
기대/NNG;인플레이션/NNG;하락/NNG,1,0,0
개인사업자/NNG;대출/NNG;확대/NNG,1,2,1
대출/NNG;스프레드/NNG;인상/NNG,1,0,0
대출/NNG;스프레드/NNG;상승/NNG,2,0,0
fed/NNG;금리/NNG;인상/NNG,8,5,12
단기물/NNG;발행/NNG;확대/NNG,2,0,0
신흥국/NNG;위험/NNG;확대/NNG,1,0,0
시장성/NNG;수신/NNG;증가/NNG,1,0,0
은행/NNG;대출/NNG;증가/NNG,4,0,1
대출/NNG;증가/NNG;둔화/NNG,2,0,2
금리/NNG;상승/NNG;취약/NNG,2,0,0
부채/NNG;상환/NNG;위험/NNG,1,0,0
신용/NNG;대출/NNG;증가/NNG,1,0,2
기업/NNG;실적/NNG;개선/NNG,6,2,1
시장성/NNG;수신/NNG;늘/VV,1,0,0
대출/NNG;도크/NNG;늘/VV,2,0,0
낮/VA;금리/NNG;상승/NNG,1,0,0
장단기스프레드/NNG;확대/NNG,4,0,3
신용/NNG;대출/NNG;늘/VV,1,0,0
주택담보대출/NNG;증가/NNG,13,2,3
금융시스템/NNG;위험/NNG,5,1,2
지표/NNG;마이너스/NNG,2,0,0
변동성/NNG;완화/NNG,8,2,6
지표/NNG;플러스/NNG,1,0,0
업황/NNG;부정적/VAX,1,0,0
변동성/NNG;축소/NNG,3,2,6
견조/NNG;회복/NNG,4,0,0
금리/NNG;하락/NNG,5,5,5
재정/NNG;적자/NNG,4,0,0
과열/NNG;우려/NNG,1,0,1
높/VA;조짐/NNG,1,0,0
위험/NNG;높/VA,3,1,2
우려/NNG;없/VA,5,2,5
금융경제/NNG,31,7,41
보/VV,1170,535,1451
fed/NNG,129,97,233
금리/NNG,1919,779,2596
인상/NNG,464,164,360
하/VV,2464,1130,3332
예견/NNG,3,1,0
되/XSV,2576,942,3275
실물/NNG,162,46,288
견조/NNG,46,5,31
회복/NNG,523,150,386
지속/NNG,895,264,903
불구/NNG,191,73,240
일드커브/NNG,21,18,36
계속/MAG,158,62,181
플래트닝/NNG,7,6,15
지적/NNG,149,74,262
하/XSV,5098,2386,6988
일각/NNG,17,11,20
장/NNG,25,7,29
기실/VV,1,0,1
질/NNG,3,1,6
균형금리/NNG,1,0,1
기대/NNG,443,162,422
인플레이션/NNG,337,67,195
하락/NNG,754,295,982
원인/NNG,39,28,68
거론/NNG,7,4,5
같/VA,318,121,364
요인/NNG,317,141,402
이미/MAG,26,10,33
이전/NNG,37,25,67
장기/NNG,242,96,414
반영/NNG,102,59,121
변화/NNG,137,72,189
설명/NNG,88,95,195
한계/NNG,21,14,26
있/VA,568,399,1059
언급/NNG,140,118,258
이러/NNG,193,101,266
현상/NNG,105,52,298
경기/NNG,1047,272,1078
침체/NNG,67,10,161
우려/NNG,420,142,509
글로벌/NNG,256,145,418
장기물/NNG,24,15,34
수요/NNG,262,80,293
유입/NNG,238,145,271
따르/VV,412,186,533
결과/NNG,134,91,217
해석/NNG,26,10,28
소개/NNG,18,29,61
견해/NNG,323,198,554
물/VV,322,216,474
대해/VV,630,361,937
장단기스프레드/NNG,35,5,26
역전/NNG,24,12,87
기/NNG,64,20,68
의하/VV,69,32,77
주도/NNG,32,10,25
예고/NNG,1,3,3
신호/NNG,36,9,33
받아들여질/VV,2,0,1
있/VV,1059,601,1555
주로/MAG,110,40,125
단기물/NNG,14,5,18
발행/NNG,138,45,216
확대/NNG,917,321,929
방침/NNG,10,1,4
단기/NNG,218,85,312
크/VA,1208,430,1481
상승/NNG,1473,412,1127
답변/NNG,365,270,632
세제개편안/NNG,3,0,0
통과/NNG,5,0,7
경로/NNG,73,37,109
가/VV,222,91,263
팔/VV,5,6,10
가능성/NNG,630,285,799
없/VA,210,116,263
법인세/NNG,10,2,1
인하/NNG,96,35,412
대규모/NNG,85,25,96
감세안/NNG,1,0,0
골자/NNG,2,0,0
미/NNG,190,64,146
금융시장/NNG,500,254,828
지표/NNG,279,93,257
법안/NNG,2,1,10
처리/NNG,3,2,4
관측/NNG,4,1,10
등/NNG,9,2,12
락하/NNG,7,4,8
양상/NNG,9,11,22
비록/MAG,10,15,22
선반영/NNG,11,4,7
되/VV,2092,901,2571
측면/NNG,112,115,245
가결/NNG,31,6,30
재정/NNG,130,44,126
적자/NNG,69,23,77
보전/NNG,9,1,3
위하/VV,259,114,377
국채/NNG,115,52,148
전/NNG,63,23,60
부각/NNG,56,31,57
생각/NNG,190,78,232
오/VV,35,16,37
동조/NNG,10,19,19
경향/NNG,41,20,56
달리/MAG,42,17,68
이유/NNG,73,36,79
움직임/NNG,114,55,153
국면/NNG,16,8,36
전환/NNG,267,53,285
과/NNG,52,27,61
같이/MAG,102,48,119
양국/NNG,3,10,4
차별화/NNG,21,25,77
